# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	13888
#@/user_id	68f0eb48-92c8-401d-96d2-9347ba0bc0d7
bu tai yan zhong 	不太嚴重	c=1 d=1 t=2954
bu tai zhu zhong 	不太注重	c=1 d=1 t=5223
bu tan 	不談	c=1 d=1 t=5743
bu tong 	不同	c=15 d=1.00008 t=12859
bu tong de 	不同的	c=2 d=1.98511 t=5619
bu tong dian 	不同點	c=1 d=1 t=2704
bu wen ding 	不穩定	c=1 d=1 t=9513
bu xian shan bu lu shui 	不顯山不露水	c=1 d=1 t=1366
bu xian shi 	不顯示	c=1 d=1 t=13460
bu xiang 	不想	c=3 d=1 t=10930
bu xiang dong le 	不想動了	c=1 d=1 t=3614
bu xiang yao 	不想要	c=1 d=1 t=6508
bu xin ren 	不信任	c=0 d=0.1 t=1789
bu xing 	不行	c=3 d=1.9906 t=4743
bu xing ge 	不行個	c=1 d=1 t=3706
bu xu yao 	不需要	c=2 d=1.96079 t=10911
bu yan 	不言	c=0 d=0.1 t=3073
bu yan bei bu yan xi 	不言悲不言喜	c=1 d=1 t=3074
bu yao 	不要	c=7 d=1.00004 t=11896
bu yi ding 	不一定	c=2 d=1.0005 t=2962
bu yi ding gao 	不一定稿	c=1 d=1 t=13102
bu yi yang 	不一樣	c=2 d=1 t=12963
bu ying gai 	不應該	c=2 d=1 t=12999
bu yong 	不用	c=4 d=1 t=11046
bu you de 	不由得	c=1 d=1 t=4838
bu yuan yi 	不願意	c=1 d=1 t=12810
bu zai 	不再	c=1 d=1 t=2401
bu zai 	不在	c=1 d=1 t=2163
bu zao le 	不早了	c=1 d=1 t=2786
bu zen me 	不怎麼	c=1 d=1 t=8502
bu zhe teng 	不折騰	c=2 d=1.96079 t=2522
bu zheng chang 	不正常	c=1 d=1 t=82
bu zhi 	不知	c=1 d=1 t=6552
bu zhi dao 	不知道	c=3 d=1.05727 t=6402
bu zhi shi 	不只是	c=1 d=1 t=5308
bu zhou 	步驟	c=1 d=1 t=7723
bu zi jue 	不自覺	c=1 d=1 t=4127
bu zu 	不足	c=1 d=0.1 t=7272
ca 	擦	c=1 d=1 t=7382
ca le ca 	擦了擦	c=1 d=1 t=4643
cai 	才	c=6 d=1 t=13849
cai 	踩	c=1 d=1 t=13028
cai fang 	採訪	c=2 d=1.06463 t=13652
cai fang le 	採訪了	c=1 d=1 t=13564
cai jian 	裁剪	c=1 d=1 t=3250
cai lei 	踩雷	c=1 d=1 t=13007
cai neng 	才能	c=2 d=1 t=10857
cai neng wan cheng 	才能完成	c=1 d=1 t=656
cai qi lai 	纔起來	c=0 d=0.1 t=7450
cai qi lai ba 	纔起來把	c=1 d=1 t=7451
cai shi 	纔是	c=2 d=1 t=9565
cai suan shi 	纔算是	c=1 d=1 t=2053
cai yuan 	裁員	c=1 d=1 t=7506
can jia 	參加	c=2 d=1 t=8595
can jia de 	參加的	c=1 d=1 t=13154
can kao 	參考	c=10 d=1.05215 t=12239
can shu 	參數	c=3 d=1.23328 t=13718
can yu 	參與	c=0 d=0.1 t=7459
can yu ren 	參與人	c=1 d=1 t=7460
can zhao 	參照	c=2 d=1.00007 t=7916
cang ku 	倉庫	c=3 d=1.99439 t=11971
cao 	草	c=1 d=1 t=7419
cao gao 	草稿	c=1 d=1 t=11070
cao zuo 	操作	c=2 d=1.29083 t=1462
cao zuo xing 	操作性	c=1 d=1 t=1986
cao zuo xing ding yi 	操作性定义	c=1 d=1 t=1990
